t,x1,x2,x3
1993/1/1,47.1,38,14.9
1994/1/1,46.9,37.4,15.7
1995/1/1,45.5,38.1,16.4
1996/1/1,43.9,38.7,17.4
1997/1/1,43.1,38.5,18.4
1998/1/1,42.3,38.3,19.4
1999/1/1,42.1,38,19.9
2000/1/1,40.1,38.8,21.1
2001/1/1,38.4,39.2,22.4
2002/1/1,39.4,38.1,22.5
2003/1/1,39.6,37.9,22.5
2004/1/1,38.3,38.8,22.9
2005/1/1,39.5,37.3,23.2
2006/1/1,38.4,37.6,24
2007/1/1,39.3,36.7,24
2008/1/1,38.6,36.9,24.5
2009/1/1,38.7,38.3,23
2010/1/1,37.2,36.7,26.1
2011/1/1,38.3,36.9,24.8
2012/1/1,38.2,37.1,24.7
2013/1/1,37.9,37.2,24.9
2014/1/1,38.3,36.2,25.5
2015/1/1,37.1,36.1,26.8
