t,sunspot
1700-01-01,8.3
1701-01-01,18.3
1702-01-01,26.7
1703-01-01,38.3
1704-01-01,60
1705-01-01,96.7
1706-01-01,48.3
1707-01-01,33.3
1708-01-01,16.7
1709-01-01,13.3
1710-01-01,5
1711-01-01,0
1712-01-01,0
1713-01-01,3.3
1714-01-01,18.3
1715-01-01,45
1716-01-01,78.3
1717-01-01,105
1718-01-01,100
1719-01-01,65
1720-01-01,46.7
1721-01-01,43.3
1722-01-01,36.7
1723-01-01,18.3
1724-01-01,35
1725-01-01,66.7
1726-01-01,130
1727-01-01,203.3
1728-01-01,171.7
1729-01-01,121.7
1730-01-01,78.3
1731-01-01,58.3
1732-01-01,18.3
1733-01-01,8.3
1734-01-01,26.7
1735-01-01,56.7
1736-01-01,116.7
1737-01-01,135
1738-01-01,185
1739-01-01,168.3
1740-01-01,121.7
1741-01-01,66.7
1742-01-01,33.3
1743-01-01,26.7
1744-01-01,8.3
1745-01-01,18.3
1746-01-01,36.7
1747-01-01,66.7
1748-01-01,100
1749-01-01,134.8
1750-01-01,139
1751-01-01,79.5
1752-01-01,79.7
1753-01-01,51.2
1754-01-01,20.3
1755-01-01,16
1756-01-01,17
1757-01-01,54
1758-01-01,79.3
1759-01-01,90
1760-01-01,104.8
1761-01-01,143.2
1762-01-01,102
1763-01-01,75.2
1764-01-01,60.7
1765-01-01,34.8
1766-01-01,19
1767-01-01,63
1768-01-01,116.3
1769-01-01,176.8
1770-01-01,168
1771-01-01,136
1772-01-01,110.8
1773-01-01,58
1774-01-01,51
1775-01-01,11.7
1776-01-01,33
1777-01-01,154.2
1778-01-01,257.3
1779-01-01,209.8
1780-01-01,141.3
1781-01-01,113.5
1782-01-01,64.2
1783-01-01,38
1784-01-01,17
1785-01-01,40.2
1786-01-01,138.2
1787-01-01,220
1788-01-01,218.2
1789-01-01,196.8
1790-01-01,149.8
1791-01-01,111
1792-01-01,100
1793-01-01,78.2
1794-01-01,68.3
1795-01-01,35.5
1796-01-01,26.7
1797-01-01,10.7
1798-01-01,6.8
1799-01-01,11.3
1800-01-01,24.2
1801-01-01,56.7
1802-01-01,75
1803-01-01,71.8
1804-01-01,79.2
1805-01-01,70.3
1806-01-01,46.8
1807-01-01,16.8
1808-01-01,13.5
1809-01-01,4.2
1810-01-01,0
1811-01-01,2.3
1812-01-01,8.3
1813-01-01,20.3
1814-01-01,23.2
1815-01-01,59
1816-01-01,76.3
1817-01-01,68.3
1818-01-01,52.9
1819-01-01,38.5
1820-01-01,24.2
1821-01-01,9.2
1822-01-01,6.3
1823-01-01,2.2
1824-01-01,11.4
1825-01-01,28.2
1826-01-01,59.9
1827-01-01,83
1828-01-01,108.5
1829-01-01,115.2
1830-01-01,117.4
1831-01-01,80.8
1832-01-01,44.3
1833-01-01,13.4
1834-01-01,19.5
1835-01-01,85.8
1836-01-01,192.7
1837-01-01,227.3
1838-01-01,168.7
1839-01-01,143
1840-01-01,105.5
1841-01-01,63.3
1842-01-01,40.3
1843-01-01,18.1
1844-01-01,25.1
1845-01-01,65.8
1846-01-01,102.7
1847-01-01,166.3
1848-01-01,208.3
1849-01-01,182.5
1850-01-01,126.3
1851-01-01,122
1852-01-01,102.7
1853-01-01,74.1
1854-01-01,39
1855-01-01,12.7
1856-01-01,8.2
1857-01-01,43.4
1858-01-01,104.4
1859-01-01,178.3
1860-01-01,182.2
1861-01-01,146.6
1862-01-01,112.1
1863-01-01,83.5
1864-01-01,89.2
1865-01-01,57.8
1866-01-01,30.7
1867-01-01,13.9
1868-01-01,62.8
1869-01-01,123.6
1870-01-01,232
1871-01-01,185.3
1872-01-01,169.2
1873-01-01,110.1
1874-01-01,74.5
1875-01-01,28.3
1876-01-01,18.9
1877-01-01,20.7
1878-01-01,5.7
1879-01-01,10
1880-01-01,53.7
1881-01-01,90.5
1882-01-01,99
1883-01-01,106.1
1884-01-01,105.8
1885-01-01,86.3
1886-01-01,42.4
1887-01-01,21.8
1888-01-01,11.2
1889-01-01,10.4
1890-01-01,11.8
1891-01-01,59.5
1892-01-01,121.7
1893-01-01,142
1894-01-01,130
1895-01-01,106.6
1896-01-01,69.4
1897-01-01,43.8
1898-01-01,44.4
1899-01-01,20.2
1900-01-01,15.7
1901-01-01,4.6
1902-01-01,8.5
1903-01-01,40.8
1904-01-01,70.1
1905-01-01,105.5
1906-01-01,90.1
1907-01-01,102.8
1908-01-01,80.9
1909-01-01,73.2
1910-01-01,30.9
1911-01-01,9.5
1912-01-01,6
1913-01-01,2.4
1914-01-01,16.1
1915-01-01,79
1916-01-01,95
1917-01-01,173.6
1918-01-01,134.6
1919-01-01,105.7
1920-01-01,62.7
1921-01-01,43.5
1922-01-01,23.7
1923-01-01,9.7
1924-01-01,27.9
1925-01-01,74
1926-01-01,106.5
1927-01-01,114.7
1928-01-01,129.7
1929-01-01,108.2
1930-01-01,59.4
1931-01-01,35.1
1932-01-01,18.6
1933-01-01,9.2
1934-01-01,14.6
1935-01-01,60.2
1936-01-01,132.8
1937-01-01,190.6
1938-01-01,182.6
1939-01-01,148
1940-01-01,113
1941-01-01,79.2
1942-01-01,50.8
1943-01-01,27.1
1944-01-01,16.1
1945-01-01,55.3
1946-01-01,154.3
1947-01-01,214.7
1948-01-01,193
1949-01-01,190.7
1950-01-01,118.9
1951-01-01,98.3
1952-01-01,45
1953-01-01,20.1
1954-01-01,6.6
1955-01-01,54.2
1956-01-01,200.7
1957-01-01,269.3
1958-01-01,261.7
1959-01-01,225.1
1960-01-01,159
1961-01-01,76.4
1962-01-01,53.4
1963-01-01,39.9
1964-01-01,15
1965-01-01,22
1966-01-01,66.8
1967-01-01,132.9
1968-01-01,150
1969-01-01,149.4
1970-01-01,148
1971-01-01,94.4
1972-01-01,97.6
1973-01-01,54.1
1974-01-01,49.2
1975-01-01,22.5
1976-01-01,18.4
1977-01-01,39.3
1978-01-01,131
1979-01-01,220.1
1980-01-01,218.9
1981-01-01,198.9
1982-01-01,162.4
1983-01-01,91
1984-01-01,60.5
1985-01-01,20.6
1986-01-01,14.8
1987-01-01,33.9
1988-01-01,123
1989-01-01,211.1
1990-01-01,191.8
1991-01-01,203.3
1992-01-01,133
1993-01-01,76.1
1994-01-01,44.9
1995-01-01,25.1
1996-01-01,11.6
1997-01-01,28.9
1998-01-01,88.3
1999-01-01,136.3
2000-01-01,173.9
2001-01-01,170.4
2002-01-01,163.6
2003-01-01,99.3
2004-01-01,65.3
2005-01-01,45.8
2006-01-01,24.7
2007-01-01,12.6
2008-01-01,4.2
2009-01-01,4.8
2010-01-01,24.9
2011-01-01,80.8
2012-01-01,84.5
2013-01-01,94
2014-01-01,113.3
2015-01-01,69.8
2016-01-01,39.8
