t,r20,rs,c
1952/1/1,4.11,0.99475,-0.012296
1952/2/1,4.26,1.02825,0.233268
1952/3/1,4.33,2.365041667,-0.081877
1952/4/1,4.23,2.3175,-0.113973
1952/5/1,4.36,2.350833333,0.00799
1952/6/1,4.57,2.451833333,0.026752
1952/7/1,4.36,2.466166667,0.269712
1952/8/1,4.11,2.468416667,0.226754
1952/9/1,4.2,2.485583333,-0.080028
1952/10/1,4.19,2.415125,0.038561
1952/11/1,4.15,2.389875,0.302134
1952/12/1,4.22,2.418166667,0
1953/1/1,4.13,2.396041667,0
1953/2/1,4.1,2.401041667,0
1953/3/1,4.04,2.400833333,0
1953/4/1,3.94,2.3835,0
1953/5/1,3.95,2.366708333,0
1953/6/1,4.02,2.365625,0
1953/7/1,3.98,2.348583333,0
1953/8/1,3.94,2.334375,0
1953/9/1,3.78,2.133541667,0
1953/10/1,3.8,2.097375,0
1953/11/1,3.78,2.097708333,0
1953/12/1,3.83,2.130583333,0
1954/1/1,3.79,2.096,0
1954/2/1,3.79,2.064041667,0
1954/3/1,3.76,2.115083333,0
1954/4/1,3.71,2.047333333,0
1954/5/1,3.65,1.713875,0
1954/6/1,3.61,1.606166667,0
1954/7/1,3.35,1.561666667,0
1954/8/1,3.36,1.613291667,0
1954/9/1,3.35,1.621083333,0
1954/10/1,3.35,1.587666667,0
1954/11/1,3.38,1.637791667,0
1954/12/1,3.51,1.865916667,0
1955/1/1,3.64,2.356416667,0
1955/2/1,3.85,3.81,0
1955/3/1,3.83,3.797,0
1955/4/1,4.15,3.906,0
1955/5/1,4.21,3.937,0
1955/6/1,4.33,3.969,0
1955/7/1,4.47,3.971,0
1955/8/1,4.84,4.005,0
1955/9/1,4.68,4.072,0
1955/10/1,4.5,4.071,0
1955/11/1,4.64,4.104,0
1955/12/1,4.7,4.072,0
1956/1/1,4.84,4.071,0
1956/2/1,4.87,5.218,0
1956/3/1,5.02,5.165,0
1956/4/1,4.85,5.008,0
1956/5/1,5.12,4.955,0
1956/6/1,5.25,5.136,0
1956/7/1,5.27,4.977,0
1956/8/1,5.2,4.027,0
1956/9/1,5.35,5.091,0
1956/10/1,5.33,4.991,0
1956/11/1,5.5,5.02,0
1956/12/1,5.29,4.858,0
1957/1/1,4.91,4.553,0
1957/2/1,4.93,4.148,0
1957/3/1,5.08,4.099,0
1957/4/1,5.11,3.914,0
1957/5/1,5.43,3.921,0
1957/6/1,5.55,3.854,0
1957/7/1,5.6,3.845,0
1957/8/1,5.75,4.121,0
1957/9/1,5.98,6.605,0
1957/10/1,5.84,6.603,0
1957/11/1,5.89,6.459,0
1957/12/1,5.81,6.375,0
1958/1/1,5.66,6.127,0
1958/2/1,5.65,6.014,0
1958/3/1,5.64,5.523,0
1958/4/1,5.45,5.179,0
1958/5/1,5.46,4.816,0
1958/6/1,5.45,4.294,0
1958/7/1,5.46,4.159,0
1958/8/1,5.49,3.76,0
1958/9/1,5.36,3.625,0
1958/10/1,5.35,3.584,0
1958/11/1,5.36,3.305,0
1958/12/1,5.36,3.152,0
1959/1/1,5.2,3.107,0
1959/2/1,5.2,3.276,0
1959/3/1,5.24,3.287,0
1959/4/1,5.22,3.283,0
1959/5/1,5.28,3.382,0
1959/6/1,5.18,3.452,0
1959/7/1,5.13,3.484,0
1959/8/1,5.21,3.488,0
1959/9/1,5.33,3.472,0
1959/10/1,5.06,3.386,0
1959/11/1,5.04,3.4,0
1959/12/1,5.21,3.687,0
1960/1/1,5.34,4.538,0
1960/2/1,5.43,4.554,0
1960/3/1,5.53,4.621,0
1960/4/1,5.59,4.652,0
1960/5/1,5.62,4.556,0
1960/6/1,5.92,5.681,0
1960/7/1,5.97,5.546,0
1960/8/1,5.95,5.588,0
1960/9/1,5.97,5.565,0
1960/10/1,5.97,5.09,0
1960/11/1,5.97,4.639,0
1960/12/1,6.01,4.349,0
1961/1/1,6.01,4.165,0
1961/2/1,6.04,4.399,0
1961/3/1,6.05,4.485,0
1961/4/1,6.01,4.407,0
1961/5/1,6.08,4.436,0
1961/6/1,6.33,4.537,0
1961/7/1,6.52,6.688,0
1961/8/1,6.63,6.7,0
1961/9/1,6.65,6.552,0
1961/10/1,6.33,5.727,0
1961/11/1,6.34,5.389,0
1961/12/1,6.41,5.403,0
1962/1/1,6.35,5.242,0
1962/2/1,6.26,5.531,0
1962/3/1,6.25,4.405,0
1962/4/1,6.24,4.052,0
1962/5/1,6.25,3.816,0
1962/6/1,6.24,3.921,0
1962/7/1,5.98,3.887,0
1962/8/1,5.77,3.752,0
1962/9/1,5.27,3.635,0
1962/10/1,5.37,3.858,0
1962/11/1,5.42,3.689,0
1962/12/1,5.36,3.717,0
1963/1/1,5.54,3.491,0
1963/2/1,5.74,3.426,0
1963/3/1,5.69,3.756,0
1963/4/1,5.5,3.709,0
1963/5/1,5.31,3.635,0
1963/6/1,5.28,3.702,0
1963/7/1,5.2,3.761,0
1963/8/1,5.22,3.723,0
1963/9/1,5.21,3.674,0
1963/10/1,5.26,3.745,0
1963/11/1,5.51,3.739,0
1963/12/1,5.63,3.721,0
1964/1/1,5.64,3.758,0
1964/2/1,5.85,4.307,0
1964/3/1,5.76,4.302,0
1964/4/1,5.93,4.302,0
1964/5/1,5.9,4.384,0
1964/6/1,5.97,4.464,0
1964/7/1,6.02,4.654,0
1964/8/1,6,4.656,0
1964/9/1,6,4.703,0
1964/10/1,6.06,4.698,0
1964/11/1,6.23,6.63,0
1964/12/1,6.41,6.627,0
1965/1/1,6.41,6.543,0
1965/2/1,6.43,6.442,0
1965/3/1,6.53,6.549,0
1965/4/1,6.61,6.375,0
1965/5/1,6.76,6.364,0
1965/6/1,6.78,5.542,0
1965/7/1,6.8,5.63,0
1965/8/1,6.65,5.559,0
1965/9/1,6.35,5.559,0
1965/10/1,6.37,5.44,0
1965/11/1,6.4,5.395,0
1965/12/1,6.59,5.521,0
1966/1/1,6.52,5.483,0
1966/2/1,6.61,5.62,0
1966/3/1,6.77,5.604,0
1966/4/1,6.78,5.638,0
1966/5/1,6.82,5.659,0
1966/6/1,7.03,5.728,0
1966/7/1,7.29,6.679,0
1966/8/1,7.41,6.726,0
1966/9/1,7.29,6.747,0
1966/10/1,6.96,6.513,0
1966/11/1,6.97,6.738,0
1966/12/1,6.78,6.527,0
1967/1/1,6.58,6.08,0
1967/2/1,6.49,6.035,0
1967/3/1,6.5,5.495,0
1967/4/1,6.46,5.412,0
1967/5/1,6.65,5.248,0
1967/6/1,6.86,5.275,0
1967/7/1,6.92,5.345,0
1967/8/1,6.9,5.291,0
1967/9/1,6.98,5.475,0
1967/10/1,7,5.726,0
1967/11/1,7.22,7.553,0
1967/12/1,7.2,7.484,0
1968/1/1,7.28,7.52,0
1968/2/1,7.28,7.374,0
1968/3/1,7.29,7.108,0
1968/4/1,7.34,7.08,0
1968/5/1,7.5,7.241,0
1968/6/1,7.87,7.242,0
1968/7/1,7.63,7.059,0
1968/8/1,7.63,6.945,0
1968/9/1,7.64,6.577,0
1968/10/1,7.7,6.493,0
1968/11/1,7.93,6.789,0
1968/12/1,8.17,6.777,0
1969/1/1,8.47,6.728,0
1969/2/1,8.61,7.711,0
1969/3/1,8.81,7.782,0
1969/4/1,8.9,7.798,0
1969/5/1,9.46,7.85,0
1969/6/1,9.31,7.88,0
1969/7/1,9.19,7.83,0
1969/8/1,9.49,7.79,0
1969/9/1,9.21,7.811,0
1969/10/1,8.95,7.743,0
1969/11/1,9.29,7.738,0
1969/12/1,9.04,7.65,0
1970/1/1,9.03,7.55,0
1970/2/1,8.79,7.6,0
1970/3/1,8.75,7.27,0
1970/4/1,8.94,6.94,0
1970/5/1,9.4,6.19,0
1970/6/1,9.58,6.87,0
1970/7/1,9.33,6.85,0
1970/8/1,9.19,6.82,0
1970/9/1,9.28,6.82,0
1970/10/1,9.15,6.81,0
1970/11/1,9.51,6.81,0
1970/12/1,9.62,6.82,0
1971/1/1,9.51,6.79,0
1971/2/1,9.35,6.75,0
1971/3/1,9.07,6.66,0
1971/4/1,9.07,5.92,0
1971/5/1,9.03,5.65,0
1971/6/1,9.08,5.59,0
1971/7/1,9.22,5.57,0
1971/8/1,8.96,5.75,0
1971/9/1,8.5,4.83,0
1971/10/1,8.51,4.63,0
1971/11/1,7.79,4.48,0
1971/12/1,8.1,4.36,0
1972/1/1,7.93,4.36,0
1972/2/1,7.9,4.37,0
1972/3/1,8.16,4.34,0
1972/4/1,8.26,4.3,0
1972/5/1,8.6,4.27,0
1972/6/1,9.32,5.21,0
1972/7/1,9.23,5.6,0
1972/8/1,9.36,5.79,0
1972/9/1,9.54,6.44,0
1972/10/1,9.46,6.74,0
1972/11/1,9.45,6.88,0
1972/12/1,9.62,7.76,0
1973/1/1,9.56,8.21,0
1973/2/1,9.65,8.08,0
1973/3/1,10.01,8.07,0
1973/4/1,9.93,7.67,0
1973/5/1,10.02,7.33,0
1973/6/1,10.15,7.06,0
