t,t,y1,y2,y3,y4,y5
1867-01-01,0,538,597,944,900,722
1868-01-01,1,522,509,841,964,719
1869-01-01,2,513,663,911,893,716
1870-01-01,3,529,751,768,1051,724
1871-01-01,4,565,739,718,1057,732
1872-01-01,5,594,598,634,1107,740
1873-01-01,6,600,556,735,1003,748
1874-01-01,7,584,594,858,1025,756
1875-01-01,8,554,667,673,1161,748
1876-01-01,9,553,776,609,1170,740
1877-01-01,10,595,754,604,1181,732
1878-01-01,11,637,689,457,1194,744
1879-01-01,12,641,498,612,1244,756
1880-01-01,13,647,643,642,1232,778
1881-01-01,14,634,681,849,1095,799
1882-01-01,15,629,778,733,1244,799
1883-01-01,16,638,829,672,1218,799
1884-01-01,17,662,751,594,1289,799
1885-01-01,18,675,704,559,1313,801
1886-01-01,19,658,633,604,1251,803
1887-01-01,20,629,663,678,1205,806
1888-01-01,21,625,709,571,1352,806
1889-01-01,22,648,763,490,1361,806
1890-01-01,23,682,681,747,1218,810
1891-01-01,24,676,627,651,1368,813
1892-01-01,25,655,667,645,1278,810
1893-01-01,26,640,804,609,1279,806
1894-01-01,27,668,782,705,1208,771
1895-01-01,28,678,707,453,1404,771
1896-01-01,29,692,653,382,1427,780
1897-01-01,30,710,639,466,1359,789
1898-01-01,31,727,672,506,1371,799
1899-01-01,32,712,669,525,1423,820
1900-01-01,33,708,729,595,1425,834
1901-01-01,34,705,784,829,1234,848
1902-01-01,35,680,842,654,1443,863
1903-01-01,36,682,886,673,1401,884
1904-01-01,37,713,784,691,1429,906
1905-01-01,38,726,770,660,1470,928
1906-01-01,39,729,783,643,1482,949
1907-01-01,40,752,877,754,1417,960
1908-01-01,41,766,777,813,1409,971
1909-01-01,42,720,810,790,1417,982
1910-01-01,43,682,957,712,1455,987
1911-01-01,44,743,970,831,1394,991
1912-01-01,45,743,903,742,1469,1004
1913-01-01,46,730,995,847,1357,1013
1914-01-01,47,723,1022,850,1402,1004
1915-01-01,48,753,998,830,1452,1013
1916-01-01,49,782,928,1056,1385,1053
1917-01-01,50,760,1073,1163,1464,1149
1918-01-01,51,799,1294,1182,1388,1248
1919-01-01,52,808,1346,1180,1428,1316
1920-01-01,53,779,1301,805,1487,1384
1921-01-01,54,770,1134,714,1467,1190
1922-01-01,55,777,1024,865,1432,1179
1923-01-01,56,841,1090,911,1459,1228
1924-01-01,57,823,1013,1027,1347,1238
1925-01-01,58,746,1119,846,1447,1246
1926-01-01,59,717,1195,869,1406,1253
1927-01-01,60,744,1235,928,1418,1253
1928-01-01,61,791,1120,924,1426,1253
1929-01-01,62,771,1112,903,1401,1255
1930-01-01,63,746,1129,777,1318,1223
1931-01-01,64,739,1055,507,1411,1114
1932-01-01,65,773,787,500,1467,982
1933-01-01,66,793,624,716,1380,929
1934-01-01,67,768,612,911,1161,978
1935-01-01,68,592,800,816,1362,1013
1936-01-01,69,633,1104,1019,1178,1045
1937-01-01,70,634,1075,714,1422,1100
1938-01-01,71,649,1052,687,1406,1097
1939-01-01,72,699,1048,754,1412,1090
1940-01-01,73,786,891,791,1390,1100
1941-01-01,74,735,921,876,1424,1188
1942-01-01,75,782,1193,962,1487,1303
1943-01-01,76,869,1352,1050,1472,1422
1944-01-01,77,923,1243,1037,1490,1498
1945-01-01,78,774,1314,1104,1458,1544
1946-01-01,79,787,1380,1193,1507,1582
1947-01-01,80,754,1556,1334,1372,1607
1948-01-01,81,737,1632,1114,1557,1629
