t,gnp
1947-01-01,1947.0
1947-04-01,1945.3
1947-07-01,1943.3
1947-10-01,1974.3
1948-01-01,2004.2
1948-04-01,2037.2
1948-07-01,2048.6
1948-10-01,2050.8
1949-01-01,2022.4
1949-04-01,2015.3
1949-07-01,2037.0
1949-10-01,2017.7
1950-01-01,2098.4
1950-04-01,2162.2
1950-07-01,2247.3
1950-10-01,2290.3
1951-01-01,2320.9
1951-04-01,2363.2
1951-07-01,2412.2
1951-10-01,2418.4
1952-01-01,2442.9
1952-04-01,2448.0
1952-07-01,2465.4
1952-10-01,2545.5
1953-01-01,2592.3
1953-04-01,2613.3
1953-07-01,2597.1
1953-10-01,2557.9
1954-01-01,2547.3
1954-04-01,2549.9
1954-07-01,2578.8
1954-10-01,2630.7
1955-01-01,2705.7
1955-04-01,2749.1
1955-07-01,2786.1
1955-10-01,2803.1
1956-01-01,2794.3
1956-04-01,2817.0
1956-07-01,2815.2
1956-10-01,2858.5
1957-01-01,2879.9
1957-04-01,2875.1
1957-07-01,2902.0
1957-10-01,2868.1
1958-01-01,2794.6
1958-04-01,2813.2
1958-07-01,2877.3
1958-10-01,2944.0
1959-01-01,2998.3
1959-04-01,3070.8
1959-07-01,3066.2
1959-10-01,3079.3
1960-01-01,3146.8
1960-04-01,3135.3
1960-07-01,3143.9
1960-10-01,3107.2
1961-01-01,3129.4
1961-04-01,3186.0
1961-07-01,3239.3
1961-10-01,3305.0
1962-01-01,3364.0
1962-04-01,3402.1
1962-07-01,3434.5
1962-10-01,3451.4
1963-01-01,3488.2
1963-04-01,3532.3
1963-07-01,3601.2
1963-10-01,3627.6
1964-01-01,3707.9
1964-04-01,3750.5
1964-07-01,3801.9
1964-10-01,3813.2
1965-01-01,3910.3
1965-04-01,3964.3
1965-07-01,4042.0
1965-10-01,4133.9
1966-01-01,4236.3
1966-04-01,4253.6
1966-07-01,4283.0
1966-10-01,4320.7
1967-01-01,4359.8
1967-04-01,4362.8
1967-07-01,4403.1
1967-10-01,4437.4
1968-01-01,4527.7
1968-04-01,4604.2
1968-07-01,4638.1
1968-10-01,4658.4
1969-01-01,4730.4
1969-04-01,4744.3
1969-07-01,4772.4
1969-10-01,4751.7
1970-01-01,4744.1
1970-04-01,4753.5
1970-07-01,4794.9
1970-10-01,4743.3
1971-01-01,4874.8
1971-04-01,4904.2
1971-07-01,4938.9
1971-10-01,4955.0
1972-01-01,5044.7
1972-04-01,5160.2
1972-07-01,5210.3
1972-10-01,5296.0
1973-01-01,5431.3
1973-04-01,5495.2
1973-07-01,5473.3
1973-10-01,5524.2
1974-01-01,5488.3
1974-04-01,5499.1
1974-07-01,5440.9
1974-10-01,5411.7
1975-01-01,5339.2
1975-04-01,5380.3
1975-07-01,5471.9
1975-10-01,5553.5
1976-01-01,5676.2
1976-04-01,5720.7
1976-07-01,5750.1
1976-10-01,5794.1
1977-01-01,5868.7
1977-04-01,5981.4
1977-07-01,6085.5
1977-10-01,6079.3
1978-01-01,6108.8
1978-04-01,6333.4
1978-07-01,6399.6
1978-10-01,6493.2
1979-01-01,6507.6
1979-04-01,6523.5
1979-07-01,6584.4
1979-10-01,6600.6
1980-01-01,6623.3
1980-04-01,6483.9
1980-07-01,6469.3
1980-10-01,6573.0
1981-01-01,6711.9
1981-04-01,6659.5
1981-07-01,6739.2
1981-10-01,6669.8
1982-01-01,6555.4
1982-04-01,6599.7
1982-07-01,6563.7
1982-10-01,6567.5
1983-01-01,6651.8
1983-04-01,6806.4
1983-07-01,6939.7
1983-10-01,7084.0
1984-01-01,7217.7
1984-04-01,7343.6
1984-07-01,7414.5
1984-10-01,7465.4
1985-01-01,7525.4
1985-04-01,7596.3
1985-07-01,7704.6
1985-10-01,7767.0
1986-01-01,7832.8
1986-04-01,7856.5
1986-07-01,7939.0
1986-10-01,7968.9
1987-01-01,8027.4
1987-04-01,8123.0
1987-07-01,8195.4
1987-10-01,8332.9
1988-01-01,8388.1
1988-04-01,8494.4
1988-07-01,8538.5
1988-10-01,8654.6
1989-01-01,8740.5
1989-04-01,8807.1
1989-07-01,8876.2
1989-10-01,8904.4
1990-01-01,8998.5
1990-04-01,9035.5
1990-07-01,9029.9
1990-10-01,8986.6
1991-01-01,8927.5
1991-04-01,8979.8
1991-07-01,9017.3
1991-10-01,9067.9
1992-01-01,9173.7
1992-04-01,9273.3
1992-07-01,9358.9
1992-10-01,9453.6
1993-01-01,9481.6
1993-04-01,9528.3
1993-07-01,9582.2
1993-10-01,9687.9
1994-01-01,9791.9
1994-04-01,9919.0
1994-07-01,9974.8
1994-10-01,10086.0
1995-01-01,10132.5
1995-04-01,10170.9
1995-07-01,10239.0
1995-10-01,10326.6
1996-01-01,10402.8
1996-04-01,10572.6
1996-07-01,10665.7
1996-10-01,10785.0
1997-01-01,10856.0
1997-04-01,11028.9
